filename            	string              	None                
index               	string              	None                
f                   	string              	None                
bs                  	string              	None                
dt                  	string              	None                
fi                  	string              	None                
fk                  	string              	None                
http_user_agent     	string              	None                
http_x_forwarded_for	string              	None                
i                   	string              	None                
ip                  	string              	None                
lang                	string              	None                
loc                 	string              	None                
lt                  	string              	None                
rf                  	string              	None                
ru                  	string              	None                
rv                  	string              	None                
s                   	string              	None                
sr                  	string              	None                
st                  	string              	None                
status              	string              	None                
t                   	string              	None                
td                  	string              	None                
u                   	string              	None                
uc                  	string              	None                
uid                 	string              	None                
user                	string              	None                
new_time            	string              	None                
zone_time           	string              	None                
ac                  	string              	None                
v1                  	string              	None                
v2                  	string              	None                
v0                  	string              	None                
type_id             	string              	None                
channel             	string              	None                
pagename            	string              	None                
pagetype            	string              	None                
product_brand       	string              	None                
product_id          	string              	None                
product_platform    	string              	None                
product_shopping_type	string              	None                
product_store       	string              	None                
scadd               	string              	None                
sub_channel_1       	string              	None                
sub_channel_2       	string              	None                
sub_channel_3       	string              	None                
areaname            	string              	None                
areaid              	string              	None                
showid              	string              	None                
pagecateg           	string              	None                
orderprice          	string              	None                
orderid             	string              	None                
ordertype           	string              	None                
product_num         	string              	None                
product_price       	string              	None                
label1_name         	string              	None                
label2_name         	string              	None                
label0_name         	string              	None                
label4_name         	string              	None                
label3_name         	string              	None                
label5_name         	string              	None                
abv                 	string              	None                
level               	string              	None                
abid                	string              	None                
product_search_type 	string              	None                
promotion_type      	string              	None                
filter              	string              	None                
positon_name        	string              	None                
keywords            	string              	None                
result_type         	string              	None                
method              	string              	None                
average_price       	string              	None                
ignore_me           	string              	None                
product_allmoney    	string              	None                
product_amount      	string              	None                
purchase_amount     	string              	None                
imp                 	string              	None                
click               	string              	None                
submit              	string              	None                
result_amount       	string              	None                
k                   	string              	None                
ld                  	string              	None                
label8_name         	string              	None                
label7_name         	string              	None                
label6_name         	string              	None                
productid           	string              	None                
scadd_metrics       	string              	None                
scadd_dimension     	string              	None                
is_rec              	string              	None                
cm                  	string              	None                
rpa                 	string              	None                
agr                 	string              	None                
ral                 	string              	None                
rac                 	string              	None                
rte                 	string              	None                
rst                 	string              	None                
v13                 	string              	None                
v14                 	string              	None                
v8                  	string              	None                
v7                  	string              	None                
v5                  	string              	None                
v11                 	string              	None                
v16                 	string              	None                
v4                  	string              	None                
v3                  	string              	None                
v12                 	string              	None                
v15                 	string              	None                
v9                  	string              	None                
v6                  	string              	None                
v10                 	string              	None                
v17                 	string              	None                
kwo                 	string              	None                
label12_name        	string              	None                
label15_name        	string              	None                
label13_name        	string              	None                
label11_name        	string              	None                
label10_name        	string              	None                
label9_name         	string              	None                
label14_name        	string              	None                
pt                  	string              	None                
rd                  	string              	None                
log_day             	string              	None                
log_hour            	string              	None                
	 	 
# Partition Information	 	 
# col_name            	data_type           	comment             
	 	 
log_day             	string              	None                
log_hour            	string              	None                
